The essence of romantic love is not the company of a lover but the pursuit;Andrew Sullivan
The love we give away is the only love we keep;Elbert Hubbard
Life in abundance comes only through great love;Elbert Hubbard
Those who are faithful know only the trivial side of love: it is the faithless who know love's tragedies;Oscar Wilde
In a separation it is the one who is not really in love who says the more tender things;Marcel Proust
What a profound significance small things assume when the woman we love conceals them from us;Marcel Proust
"In his younger days a man dreams of possessing the heart of the woman whom he loves; later, the feeling that he possesses the heart of a woman may be enough to make him fall in love with her";Marcel Proust
People who are not in love fail to understand how an intelligent man can suffer because of a very ordinary woman This is like being surprised that anyone should be stricken with cholera because of a creature so insignificant as the comma bacillus;Marcel Proust
"Where love rules, there is no will to power; and where power predominates, there love is lacking The one is the shadow of the other";Carl Jung
Love yourself first and everything else falls into line You really have to love yourself to get anything done in this world;Lucille Ball
If thou rememb'rest not the slightest folly into which love hast made thee run, though hast not loved;William Shakespeare
Where there is no exaggeration there is no love, and where there is no love there is no understanding;Oscar Wilde
Love is repaid by love alone!;Mother Teresa
Love is like war: easy to begin but very hard to stop;Henry Mencken
"My wife is as handsome as when she was a girl, and Ifell in love with her; and what is more, I have never fallen out";Abraham Lincoln
Love sought is good, but given unsought is better;William Shakespeare
And what’s romance? Usually, a nice little tale where you have everything As You Like It, where rain never wets your jacket and gnats never bite your nose and it’s always daisy-time;DH Lawrence
"Mortal lovers must not try to remain at the first step; for lasting passion is the dream of a harlot and from it we wake in despair";CS Lewis
Pure love and suspicion cannot dwell together: at the door where the latter enters, the former makes its exit;Alexandre Dumas
The fickleness of the women I love is only equaled by the infernal constancy of the women who love me;George Bernard Shaw
Three grand essentials to happiness in this life are something to do, something to love, and something to hope for;Joseph Addison
No human relation gives one possession in anotherevery two souls are absolutely different In friendship and in love, the two side by side raise hands together to find what one cannot reach alone;Kahlil Gibran
There is hardly any activity, any enterprise, which is started out with such tremendous hopes and expectations, and yet which fails so regularly, as love;Erich Fromm
Love is needing to be loved;John Lennon
Looking back, I have this to regret, that too often when I loved, I did not say so;David Grayson
Ever has it been that love knows not its own depth until the hour of separation;Kahlil Gibran
In true love the smallest distance is too great, and the greatest distance can be bridged;Hans Nouwens
"Our hours in love have wings; in absence, crutches";Colley Cibber
"Love is something far more than desire for sexual intercourse; it is the principal means of escape from the loneliness which afflicts most men and women throughout the greater part of their lives";Bertrand Russell
"Love is an ideal thing, marriage a real thing; a confusion of the real with the ideal never goes unpunished";Johann Wolfgang von Goethe
"Love never dies a natural death It dies because we don't know how to replenish it's source It dies of blindness and errors and betrayals It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings";Anais Nin
Love means having to say you're sorry every fifteen minutes;John Lennon
Love is not affectionate feeling, but a steady wish for the loved person's ultimate good as far as it can be obtained;CS Lewis
Love is the master key which opens the gates of happiness;Oliver Wendell Holmes
"Love looks through a telescope; envy, through a microscope";Josh Billings
"Clarity of mind means clarity of passion, too; this is why a great and clear mind loves ardently and sees distinctly what it loves";Blaise Pascal
Why be something to everybody when you can be everything to somebody?;GK Chesterton
We need not think alike to love alike;Francis David
"Love at first sight is easy to understand; it's when two people have been looking at each other for a lifetime that it becomes a miracle";Amy Bloom
I never knew how to worship until I knew how to love;Henry Ward Beecher
There can be no deep disappointment where there is not deep love;Martin Luther King Jr
Love takes up where knowledge leaves off;Thomas Aquinas
To write a good love letter, you ought to begin without knowing what you mean to say and to finish without knowing what you have written;Jean-Jacques Rousseau
If, as I can't help suspecting, the dead also feel the pains of separation (and this may be one of their purgatorial sufferings), then for both lovers, and for all pairs of lovers without exception, bereavement is a universal and integral part of our experience of love;CS Lewis
Money can't buy love, but it improves your bargaining position;Christopher Marlowe
That is the true season of love, when we believe that we alone can love, that no one could ever have loved so before us, and that no one will love in the same way after us;Johann Wolfgang von Goethe
The greatest pleasure of life is love;William Temple
Whoso loves believes the impossible;Elizabeth Barrett Browning
Take away love and our earth is a tomb;Robert Browning
For small creatures such as we the vastness is bearable only through love;Carl Sagan
Love is the delightful interval between meeting a beautiful girl and discovering that she looks like a haddock;John Barrymore
Life is but a brief moment The years go by quickly and old age arrives suddenly before we have an inkling People desire so many things and waste their days in vain Some yearn for gold, others for power, yet others for glory and a higher station But when death's moment nears and they look back at their lives they've lived, they realise they've been happy only during those moments when they've loved;Borje Vahamaki
To be wise and love exceeds man's might;William Shakespeare
Love is the wisdom of the fool and the folly of the wise;Samuel Johnson
A loving heart is the truest wisdom;Charles Dickens
I know of only one duty, and that is to love;George Bernard Shaw
The giving of love is an education in itself;Eleanor Roosevelt
Absence makes the heart grow fonder;Eleanor Roosevelt
The laws of gravity cannot be held responsible for people falling in love;Albert Einstein
Music makes one feel so romantic - at least it always gets on one's nerves - which is the same thing nowadays;Oscar Wilde
We cannot all do great things, but we can do small things with great love;Mother Teresa
If music be the food of love, play on;William Shakespeare
Love's always a little lonely in the beginning;Douglas Sirk
Love is like an hourglass, with the heart filling up as the brain empties;Jules Renard
Love is a verb;Author Unknown
Love is energy of life;Robert Browning
Life is one fool thing after another where as love is two fool things after each other;Oscar Wilde
Love is a canvas furnished by nature and embroidered by imagination;Francois Marie Arouet (Voltaire)
Love is the idler's occupation, the warrior's relaxation, and the soverign's ruination;Napoleon Bonaparte
Love is the triumph of imagination over intelligence;Henry Mencken
You are what you love Not what loves you;Charlie Kaufman
"A coward is incapable of exhibiting love; it is the prerogative of the brave";Mahatma Gandhi
Getting divorced just because you don't love a man is almost as silly as getting married just because you do;Zsa Zsa Gabor
A man in love is incomplete until he has married Then he's finished;Zsa Zsa Gabor
If you wish to be loved, show more of your faults than your virtues;Edward Bulwer-Lytton
"Young love is a flame; very pretty, often very hot and fierce, but still only light and flickering The love of the older and disciplined heart is as coals, deep burning, unquenchable";Henry Ward Beecher
It is impossible to love and to be wise;Francis Bacon
Civilized people need love for full sexual satisfaction;Author Unknown
Sex alleviates tension Love causes it;Woody Allen
"Hate cannot drive out hate; only love can do that";Martin Luther King Jr
The magic of first love is our ignorance that it can never end;Benjamin Disraeli
Since love grows within you, so beauty grows For love is the beauty of the soul;Saint Augustine
"Talk not of wasted affection; affection never was wasted";Henry Wadsworth Longfellow
To love means to commit oneself without guarantee, to give oneself completely in the hope that our love will produce love in the loved person;Erich Fromm
I am certainly not an authority on love because there are no authorities on love, just those who've had luck with it and those who haven't;Bill Cosby
If you think there are no new frontiers, watch a boy ring the front doorbell on his first date;Olin Miller
"You have to walk carefully in the beginning of love; the running across fields into your lover's arms can only come later, when you're sure they won't laugh if you trip";Jonathan Carroll
When you're comfortable with someone you love, the silence is the best;Britney Spears
Love seems the swiftest, but it is the slowest of all growths No man or woman really knows what perfect love is until they have been married a quarter of a century;Mark Twain
Love is like quicksilver in the hand Leave the fingers open and it stays Clutch it, and it darts away;Dorothy Parker
If you would be loved, love and be lovable;Benjamin Franklin
Absence sharpens love, presence strengthens it;Benjamin Franklin
The odds of not meeting in this life are so great that every meeting is like a miracle It's a wonder that we don't make love to every single person we meet;Yoko Ono
First love is only a little foolishness and a lot of curiosity;George Bernard Shaw
Love is a gross exaggeration of the difference between one person and everybody else;George Bernard Shaw
"He who loves 50 people has 50 woes; he who loves no one has no woes";Siddhartha Buddha
"Love is agrowing, to full constant light; and his first minute, after noon, is night";John Donne
Love is an irresistible desire to be irresistibly desired;Robert Frost
If we discovered that we only had five minutes left to say all that we wanted to say, every telephone booth would be occupied by people calling other people to stammer that they loved them;Christopher Morley
Love means loving the unlovable - or it is no virtue at all;GK Chesterton
